                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90339,                0.60756,                 1.0843,                0.94784,                0.91983,                0.96047,                0.74641,                0.82757,                0.47612,                 1.0182,             0.00049529,             0.00049529,             0.00049529
                     36,                0.90686,                0.60604,                 1.0844,                0.95437,                0.92499,                0.96145,                0.75057,                0.81437,                0.46622,                 1.0091,               0.000467,               0.000467,               0.000467
                     37,                 0.8949,                0.60075,                 1.0769,                0.95821,                0.92215,                0.96321,                0.75598,                0.79715,                 0.4568,                 1.0029,              0.0004387,              0.0004387,              0.0004387
                     38,                0.88428,                0.59331,                 1.0719,                0.95369,                0.92357,                0.96171,                0.75338,                0.80014,                0.46314,                 1.0018,             0.00041041,             0.00041041,             0.00041041
                     39,                0.88292,                 0.5883,                  1.071,                0.95367,                0.92292,                0.96263,                0.75741,                0.79358,                0.45651,                0.99722,             0.00038211,             0.00038211,             0.00038211
                     40,                0.87966,                0.58667,                 1.0705,                0.95814,                0.92174,                0.96248,                0.76014,                0.79256,                0.45686,                0.99469,             0.00035382,             0.00035382,             0.00035382
                     41,                 0.8141,                0.47651,                 1.0228,                 0.9548,                0.92334,                0.96372,                0.75728,                0.79164,                 0.4482,                0.99396,             0.00032553,             0.00032553,             0.00032553
                     42,                0.79715,                0.46294,                 1.0145,                0.95836,                0.92623,                0.96489,                0.76372,                 0.7882,                0.44058,                0.99206,             0.00029723,             0.00029723,             0.00029723
                     43,                0.78223,                0.45388,                 1.0064,                0.95758,                0.92641,                 0.9667,                0.76581,                0.77873,                0.43474,                0.98705,             0.00026894,             0.00026894,             0.00026894
                     44,                0.77894,                0.44888,                 1.0024,                0.96429,                0.92221,                0.96652,                0.76902,                0.77089,                 0.4286,                0.98088,             0.00024064,             0.00024064,             0.00024064
                     45,                 0.7675,                0.44369,                      1,                0.96277,                0.92918,                 0.9671,                0.77068,                 0.7646,                0.42766,                0.98038,             0.00021235,             0.00021235,             0.00021235
                     46,                0.75876,                0.43683,                0.99265,                0.95953,                0.92955,                0.96667,                0.77051,                0.76215,                0.42239,                0.97739,             0.00018406,             0.00018406,             0.00018406
                     47,                0.75041,                0.43315,                0.99254,                0.96115,                0.93051,                0.96793,                0.77339,                0.75748,                0.41988,                0.97468,             0.00015576,             0.00015576,             0.00015576
                     48,                0.74287,                 0.4268,                0.98643,                0.96163,                 0.9327,                0.96852,                0.77475,                 0.7545,                0.41735,                0.97256,             0.00012747,             0.00012747,             0.00012747
                     49,                0.73695,                0.42234,                0.98084,                0.96157,                0.93427,                0.96956,                0.77708,                0.75146,                0.41267,                0.97037,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.72985,                 0.4183,                0.98235,                0.96093,                0.93421,                 0.9685,                 0.7794,                0.74655,                0.40982,                0.96836,             7.0878e-05,             7.0878e-05,             7.0878e-05
